name,category,reference,description,url,img_names
Tablero Week,oficina,VA-578,"Tablero semanal en MDF con corcho. Incluye 1 marcador, 1 imán y 3 chinches. Medidas: 51 cm x 20.5 cm Marca: 4.5 cm / Tampografía Unidades por Caja: 12   Unidades  Empaque: 52,5    X 19,5 X 24,0 / 3,2 Kg",https://www.catalogospromocionales.com/p/tablero-week/6932/24,['VA-578_1.jpg']
Estuche Jar para OF-376 y OF-19,oficina,OF-376J,"Estuche transparente plástico circular en forma de frasco con tapa rosca. Medidas: 7.5 cm x 7.5 cm Marca: 3.5 cm / Tampografía  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega. Unidades por Caja: 200   Unidades  Empaque: 35,0    X 41,0 X 62,0 / 4,8 Kg",https://www.catalogospromocionales.com/p/estuche-jar-para-of-376-y-of-19/5885/24,['OF-376J_1.jpg']
Set Mini Resaltador de TINTA,oficina,OF-376-1,"Juego de 5 resaltadores en tinta en jarra plástica. Medidas: Resaltador: 5.7 cm x 2.3 cm. Estuche: 7.5 cm x 7.5 cm Marca: 2.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 35,0    X 40,0 X 63,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/set-mini-resaltador-de-tinta/6594/24,['OF-376-1_1.jpg']
Clips,oficina,OF-19,"Metálicos con recubrimiento en plástico. Bolsa de 100 unidades.  Venta mínima y en múltiplos de caja de 50 bolsas. Unidades por Caja: 600   Unidades  Empaque: 41,0    X 35,0 X 33,0 / 27,5 Kg",https://www.catalogospromocionales.com/p/clips/355/24,['OF-19_1.jpg']
Set Resaltador Fingers,oficina,OF-419,"Set de 5 resaltadores en tinta. Medidas: 9 cm x 7.5 cm Marca: 3 cm / Tampografía Unidades por Caja: 250   Unidades  Empaque: 53,0    X 39,0 X 21,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/Set-Resaltador-Fingers/6707/24,['OF-419_1.jpg']
Set de Escritorio Bowl,oficina,OF-385,"Set de escritorio en estuche plástico en forma de frasco. Incluye: dispensador de cinta, cosedora con ganchos, tajalápiz y cinta correctora. Medidas: 7.5 cm x 7.5 cm Marca: 2,5 cm x 2 cm / Tampografía Unidades por Caja: 144   Unidades  Empaque: 52,0    X 38,0 X 37,0 / 11,0 Kg",https://www.catalogospromocionales.com/p/set-de-escritorio-bowl/6170/24,"['OF-385_1.jpg', 'OF-385_2.jpg', 'OF-385_3.jpg', 'OF-385_4.jpg', 'OF-385_5.jpg', 'OF-385_6.jpg', 'OF-385_7.jpg', 'OF-385_8.jpg']"
Mini resaltador de CERA (Ver OF-376E/OF-376J),oficina,OF-376,"En plástico. No se seca. Medidas: 5.7 cm x 2.3 cm Marca: 2.5 cm / Tampografía Ver opciones de estuches: OF-376J Jarra OF-376E Estuche   Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega. Unidades por Caja: 200   Unidades  Empaque: 62,0    X 40,5 X 35,5 / 14,5 Kg",https://www.catalogospromocionales.com/p/mini-resaltador-de-cera-ver-of-376e-of-376j/5884/24,['OF-376_1.jpg']
Estuche Rectangular para OF-376,oficina,OF-376E,"Estuche transparente plástico rectangular para 5 resaltadores. Ver OF-376 Medidas: 7.7 cm x 7 cm Marca: 3.5 cm / Tampografía  Producto con condiciones especiales de alistamiento,consulte con su asesora el tiempo de entrega. Unidades por Caja: 200   Unidades  Empaque: 24,5    X 40,0 X 58,0 / 7,0 Kg",https://www.catalogospromocionales.com/p/estuche-rectangular-para-of-376/5886/24,"['OF-376E_1.jpg', 'OF-376E_2.jpg', 'OF-376E_3.jpg']"
Miniset de Escritorio,oficina,OF-97,"Incluye: Dispensador de cinta, cosedora, perforadora de un hueco y ganchos para cosedora. Medidas: 6 cm x 9.2 cm Marca: 5.5 cm / Tampografía Unidades por Caja: 200   Unidades  Empaque: 34,5    X 30,0 X 44,5 / 15,0 Kg",https://www.catalogospromocionales.com/p/miniset-de-escritorio/2047/24,"['OF-97_1.jpg', 'OF-97_2.jpg', 'OF-97_3.jpg', 'OF-97_4.jpg', 'OF-97_5.jpg', 'OF-97_6.jpg', 'OF-97_7.jpg', 'OF-97_8.jpg']"
Memo Stick Personalizados,oficina,MEMO STICK,"Memo Stick personalizados en Bond blanco 75 grs., impresión una o dos tintas. Cantidad de hojas por taco 25 / 50 / 100. Medidas: 7 cm X 7.5 cm / 10.2 cm X 7.5 cm. Troquelado Especial para cantidades de 2000 en adelante y tacos de 25 hojas. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/memo-stick-personalizados/6963/24,['MEMO STICK_1.jpg']
