name,category,reference,description,url,img_names
Careta Facial Para Gorra - Producción Nacional,produccion-nacional,CP-248,"Protector plástico de producción nacional elaborado en Vipack Atóxico Farmacéutico antiempañante súper transparente Calibre 260. Ribeteado en el borde, con sistema de broche para poder usar la gorra sin el protector facial. (Ribete siempre negro, broche azul, blanco o negro de acuerdo a disponibilidad / precio de la gorra no incluido / no se vende por separado). Práctico para cargar y usar en espacios públicos o en supermercados, bancos, transporte público, etc. y evitar salpicaduras de fluidos corporales. Reutilizable (se sugiere enjuagar con jabón, colocar bajo el chorro de agua y dejar secar a temperatura ambiente antes y después de cada uso). No reemplaza el uso del tapabocas. No estéril, Talla única. Empaque bolsa individual. Artículo para uso personal, no se admiten cambios/devoluciones Medidas: 24 cm x 36.5 cm Peso: 33g±5% Sin Marca   Producto con condiciones especiales de alistamiento, consulte con su asesora tiempos de entrega   Ficha Técnica  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Careta-Facial-Para-Gorra-Produccion-Nacional/9459/108,"['CP-248_1.jpg', 'CP-248_2.jpg', 'CP-248_3.jpg', 'CP-248_4.jpg', 'CP-248_5.jpg', 'CP-248_6.jpg']"
Careta Facial Plástica Fija - Producción Nacional,produccion-nacional,CP-250,"Protector plástico de producción nacional elaborado en Vipack Atóxico Farmacéutico antiempañante súper transparente Calibre 260. Con banda plástica de sujeción en la cabeza graduable. Práctico para cargar y usar en espacios públicos o en supermercados, bancos, transporte público, etc. y evitar salpicaduras de fluidos corporales. Reutilizable (se sugiere enjuagar con jabón, colocar bajo el chorro de agua y dejar secar a temperatura ambiente antes y después de cada uso). No reemplaza el uso del tapabocas. No estéril, Talla única. Empaque bolsa individual. Artículo para uso personal, no se admiten cambios/devoluciones Medidas: 24 cm x 36.5 cm Peso: 43g±5% Sin Marca  Producto con condiciones especiales de alistamiento, consulte con su asesora tiempos de entrega   Ficha Técnica  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Careta-Facial-Plastica-Fija-Produccion-Nacional/9462/108,"['CP-250_1.jpg', 'CP-250_2.jpg', 'CP-250_3.jpg']"
Gorro Desechable con Resorte - Producción Nacional,produccion-nacional,CP-244,"Gorro desechable de producción nacional, para proteger el cabello de suciedad y proteger los ambientes cerrados de la contaminación exterior y de cabellos. 100% polipropileno virgen 40 gramos (tela tipo SS) con resorte interior. No estéril. Talla única. Empaque bolsa Individual. Artículo para uso personal, no se admiten cambios/devoluciones Medidas: 26 cm diámetro (Tolerancia ± 1cm) / Peso: 6g±5% Sin Marca   Producto con condiciones especiales de alistamiento, consulte con su asesora tiempos de entrega Unidades por Caja: 1000   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gorro-desechable-con-resorte-produccion-nacional/9454/108,"['CP-244_1.jpg', 'CP-244_2.jpg', 'CP-244_3.jpg']"
Bata Abierta Tela no Tejida - Producción Nacional,produccion-nacional,CP-247,"Bata desechable de producción nacional. Mangas largas con resorte. Opcional solamente resortado o con puños blancos. Con tira de amarre de 3.5cm de ancho. Fabricado 100% polipropileno virgen 40 gramos (tela tipo SS). No estéril. Talla única. Empaque Bolsa Individual. Artículo para uso personal, no se admiten cambios/devoluciones Medidas: 100 cm desde la base del cuello, Ancho 80-82cm, Largo de la manga 60 cm (Tolerancia ± 2cm) / Peso: 90g±5% Sin Marca   Producto con condiciones especiales de alistamiento, consulte con su asesora tiempos de entrega   Ficha Técnica  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Bata-Abierta-Desechable-Produccion-Nacional/9458/108,"['CP-247_1.jpg', 'CP-247_2.jpg', 'CP-247_3.jpg', 'CP-247_4.jpg']"
Polainas Desechables conResorte-ProducciónNacional,produccion-nacional,CP-243,"Polainas desechables de producción nacional, para proteger el calzado de suciedad y salpicaduras y proteger los ambientes cerrados de la contaminación exterior. No se debe utilizar con calzado como sandalias o zapatos abiertos. 100% polipropileno virgen 40 gramos (tela tipo SS) con resorte interior. No estéril. Talla única. Empaque bolsa por cada par. Artículo para uso personal, no se admiten cambios/devoluciones Medidas: 34 cm x 16 cm (Tolerancia ± 1cm) / Peso: Par 12g±5% Sin Marca Nota: Cantidad por caja máster es de 1.000 pares   Producto con condiciones especiales de alistamiento, consulte con su asesora tiempos de entrega   Ficha Técnica  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polainas-desechables-con-resorte-produccion-nacional/9453/108,['CP-243_1.jpg']
Overol en Tela no Tejida - Producción Nacional,produccion-nacional,CP-246,"Overol desechable de producción nacional. Cierre de cremallera; capota, pantalón largo y mangas largas con resorte. Opcional solamente resortado o con puños blancos. Completo cubrimiento corporal. Cosido y resortado en la parte posterior de la cintura para proporcionar comodidad. Fabricado 100% polipropileno virgen 40 gramos (tela tipo SS). No estéril. Talla única. Empaque bolsa Individual. Artículo para uso personal, no se admiten cambios/devoluciones Medidas: 173 cm desde la base del cuello, Ancho 60-62cm, Capota 30 cm, Largo de la manga 62 cm (Tolerancia ± 2cm) / Peso: 130g±5% Sin Marca  Producto con condiciones especiales de alistamiento, consulte con su asesora tiempos de entrega   Ficha Técnica  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Overol-Desechable-Produccion-Nacional/9457/108,"['CP-246_1.jpg', 'CP-246_2.jpg']"
Protector Plástico para Tapabocas-Prod Nal,produccion-nacional,CP-254,"Protector de producción nacional para tapabocas por unidad (Tapabocas no incluido). Elaborado en Polipropileno. Sirve para colocar un tapabocas estándar de hasta 17.5 cm X 10 cm, doblar para guardar y cargar. Reutilizable (se sugiere desinfectarlo con alcohol en spray antes y después de cada uso). Bolsa Individual. Medidas: Abierto: 18.8 cm X 12.5 cm Cerrado: 9.5 cm X 6.5 cm X 1.2 cm Marca: 5 cm / Tampografía con Empaque y Desempaque  VER VIDEO Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/Protector-plastico-para-tapabocas-produccion-nacional/9467/108,"['CP-254_1.jpg', 'CP-254_2.jpg', 'CP-254_3.jpg', 'CP-254_4.jpg', 'CP-254_5.jpg']"
Jabón Líquido Antibacterial - Producción Nacional,produccion-nacional,CP-253,"Jabón Antibacterial de producción nacional. Formula con Aloe Vera y Glicerina. Disponible en 30ml, 60ml, 120ml, 500ml (con tapa). Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 30ml: 8.2 cm x 2.7 cm diámetro 60ml: 11.5 cm x 5.2 cm 120ml: 14 cm x 3.8 cm diámetro 500ml: 18.5 cm x 7.5 cm x 5.5 cm Marca: 5 cm / Tampografía con Tratamiento/Litografía (Cotización Especial)   Ficha Técnica Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/jabon-liquido-antibacterial-produccion-nacional/9466/108,"['CP-253_1.jpg', 'CP-253_2.jpg', 'CP-253_3.jpg', 'CP-253_4.jpg', 'CP-253_5.jpg']"
Careta de Protección Facial Profesional -Prod Nal,produccion-nacional,CP-252,"Barrera de protección facial para el área de la salud. Diseñada con el fin de proteger de salpicaduras de fluidos o líquidos, hace más seguro el ejercicio de profesionales de la salud y laboratorios clínicos. Diadema en polipropileno ajustable. Reutilizable (se sugiere enjuagar con jabón, colocar bajo el chorro de agua y dejar secar a temperatura ambiente antes y después de cada uso). No reemplaza el uso del tapabocas. No estéril, Talla única. Empaque bolsa individual. Elaborado bajo protocolos normativos (NTC3610 / ANSI Z.87.1). Radicado Invima 2459. No es un producto para riesgo industrial. Artículo para uso personal, no se admiten cambios/Devoluciones Medidas: 37 cm X 27 cm Sin Marca   Ficha Técnica Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/careta-de-proteccion-facial-profesional-produccion-nacional/9465/108,"['CP-252_1.jpg', 'CP-252_2.jpg', 'CP-252_3.jpg', 'CP-252_4.jpg']"
Gel Antibacterial Transparente-Producción Nacional,produccion-nacional,CP-242,"Gel Antibacterial de producción nacional (Alcohol 70%). Formula con Aloe Vera y Glicerina. Disponible en 60ml(frasco tipo bala con tapa blanca o colapsible con caucho CP-262 adicional) 120ml (con tapa) 300ml (con tapa) 500ml (con válvula dispensadora) 1000ml (con válvula dispensadora) 4000ml (Galón con tapa). Registro Invima. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: 60ml: 11.5 cm X 5.2 cm 120ml: 14 cm X 3.8 cm diámetro 300ml: 16 cm X 6.2 cm X 4.7 cm 500ml: 18.5 cm X 7.5 cm X 5.5 cm 1000ml: 23.5 cm X 9.3 cm X 7.5 cm 4000ml: 24 cm X 19 cm X 13 cm Marca: 5 cm / Tampografía(producto con tratamiento)– Litografía (Cotización especial) Marca 4000ml: Sin marca  Funda en Silicona para 60ml CP-262: Inventario aquí  Gel 30ml Producción Nacional Ver aquí CP-126  Nuevo! Kit de Bioseguridad Personal - Produccion Nacional CP-265: Clic Aquí  Ficha Técnica Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gel-antibacterial-transparente-produccion-nacional/9452/108,"['CP-242_1.jpg', 'CP-242_2.jpg', 'CP-242_3.jpg', 'CP-242_4.jpg', 'CP-242_5.jpg', 'CP-242_6.jpg', 'CP-242_7.jpg', 'CP-242_8.jpg', 'CP-242_9.jpg']"
Kit de Bioseguridad Personal - Produccion Nacional,produccion-nacional,CP-265,"Kit de bioseguridad personal, práctico para cargar y llevar en estuche en PVC. Registro Invima. Puede seleccionar su kit entre estas opciones: NUEVO!!! KIT 30ml: 1. Gel Antibacterial de producción nacional (Alcohol 70%). Fórmula con Aloe Vera y Glicerina 30ml. 2. Jabón Líquido Antibacterial de producción nacional. Fórmula con Aloe Vera y Glicerina. 30ml. 3. Líquido Antibacterial Pump Spray (Nacional) 10ml KIT 60ml: 1. Gel Antibacterial de producción nacional (Alcohol 70%). Fórmula con Aloe Vera y Glicerina 60ml. 2. Jabón Líquido Antibacterial de producción nacional. Fórmula con Aloe Vera y Glicerina. 60ml. 3. Alcohol etílico impotable al 70%. (Resolución Invima). 60ml KIT 120ml: 1. Gel Antibacterial de producción nacional (Alcohol 70%). Fórmula con Aloe Vera y Glicerina 120ml. 2. Jabón Líquido Antibacterial de producción nacional. Fórmula con Aloe Vera y Glicerina. 120m. 3. Alcohol etílico impotable al 70%. (Resolución Invima). 60ml Puede personalizar su kit con dos o más elementos dentro de estas mismas opciones. Artículo para uso personal, no se admiten cambios/devoluciones. Medidas: Estuche PVC (Kit 60ml y 120ml): 13.5 cm X17 cm X 3.5 cm base Estuche PVC (Kit 30ml): 10.5 cm x18.5 cm Marca: 5 cm / Tampografía con Empaque y Desempaque  Inventario Gel Antibacterial CP-242:  AQUÍ Inventario Jabón Antibacterial CP-253: AQUÍ Inventario Alcohol Etílico 70% CP-258: AQUÍ Inventario Líquido Antibacterial Pump Spray 10ml CP-127-1 (Nacional): AQUÍ  Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/kit-de-bioseguridad-personal-produccion-nacional/9613/108,"['CP-265_1.jpg', 'CP-265_2.jpg', 'CP-265_3.jpg']"
