name,category,reference,description,url,img_names
Polo Adulto Talla / M,confeccion,PL-M,"Confeccionada en 100% algodón de 220 gr., cuellos y puños tejidos tono a tono y pechera con 3 botones. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-adulto-m/497/12,['PL-M_1.jpg']
Polo Adulto Talla / XL,confeccion,PL-XL,"Confeccionada en 100% algodón de 220 gr., cuellos y puños tejidos tono a tono y pechera con 3 botones. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-adulto-xl/499/12,['PL-XL_1.jpg']
Polo Dama Talla / S,confeccion,PLD-S,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-dama-s/1817/12,['PLD-S_1.jpg']
Polo Dama Talla / L,confeccion,PLD-L,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-dama-l/1815/12,['PLD-L_1.jpg']
Polo Adulto Talla / S,confeccion,PL-S,"Confeccionada en 100% algodón de 220 gr., cuellos y puños tejidos tono a tono y pechera con 3 botones. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-adulto-s/495/12,['PL-S_1.jpg']
Polo Adulto Talla / L,confeccion,PL-L,"Confeccionada en 100% algodón de 220 gr., cuellos y puños tejidos tono a tono y pechera con 3 botones. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-adulto-l/498/12,['PL-L_1.jpg']
Polo Dama Talla / XS,confeccion,PLD-XS,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-dama-xs/1820/12,['PLD-XS_1.jpg']
Chaqueta Cremallera - Produccion Nacional,confeccion,JC-01,"Chaqueta en poliéster, con cierre de cremallera y gorro. Stock Permanente. Tallas: S / M / L / XL Marca: 15 cm / Screen Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/chaqueta-cremallera-produccion-nacional/1948/12,['JC-01_1.jpg']
Chaqueta Canguro - Produccion Nacional,confeccion,JC-02,"Consulte telefónicamente Stock Permanente. Chaqueta tipo canguro con gorro y bolsillo para guardarlo. Elaborada en poliéster. Cremallera de nylon. Tallas: S / M / L / XL Marca: 15 cm / Screen Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/chaqueta-canguro-produccion-nacional/2002/12,['JC-02_1.jpg']
Polo Dama Talla / M,confeccion,PLD-M,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/polo-dama-m/1816/12,['PLD-M_1.jpg']
T-Shirt Adulto 180g Talla / M,confeccion,TH-M,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-adulto-180g-talla-m/476/12,['TH-M_1.jpg']
T-Shirt Dama Talla / L,confeccion,TH-DL,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-dama-talla-l/1822/12,['TH-DL_1.jpg']
T-Shirt Infantil Talla 8,confeccion,TH-8,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-infantil-talla-8/1310/12,['TH-8_1.jpg']
T-Shirt Adulto 180g Talla / S,confeccion,TH-S,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-adulto-180g-talla-s/475/12,['TH-S_1.jpg']
T-Shirt Dama Talla / XS,confeccion,TH-DXS,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-dama-talla-xs/480/12,['TH-DXS_1.jpg']
T-Shirt Dama Talla / M,confeccion,TH-DM,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-dama-talla-m/1821/12,['TH-DM_1.jpg']
T-Shirt Infantil Talla 6,confeccion,TH-6,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-infantil-talla-6/488/12,['TH-6_1.jpg']
T-Shirt Dama Talla / XL,confeccion,TH-DXL,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-dama-talla-xl/1894/12,['TH-DXL_1.jpg']
T-Shirt Dama Talla / S,confeccion,TH-DS,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-dama-talla-s/1893/12,['TH-DS_1.jpg']
T-Shirt Adulto 180g Talla / L,confeccion,TH-L,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-adulto-180g-talla-l/477/12,['TH-L_1.jpg']
T-Shirt Infantil Talla 14,confeccion,TH-14,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-infantil-talla-14/489/12,['TH-14_1.jpg']
T-Shirt Infantil Talla 16,confeccion,TH-16,"Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-infantil-talla-16/490/12,['TH-16_1.jpg']
T-Shirt Dama Cuello V Manga Contraste Talla / S,confeccion,THV-D-S,"Camiseta blanca confeccionada en 100% algodón. Cuello en V con contraste azul oscuro en cuello y puños. Técnica de marca: Screen . Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/t-shirt-dama-cuello-v-manga-contraste-talla-s/5550/12,['THV-D-S_1.jpg']
